id,title,author,publisher,category,ean,brand,slug,description,image_url,min_players,max_players,playtime_min,min_age,external_id
17,Каркассон Дуэль,18,6,14,4624198251622,Zvezda,nastolnaya-igra-17,Компактная коробка и красивые компоненты. Кооперативный режим с нарастающим напряжением. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+17,1,5,45,10,BG00017
18,Thunderstone Дуэль,3,2,9,4620806956880,GaGa Games,nastolnaya-igra-18,Отличный выбор для компании. Стратегическая глубина и высокая реиграбельность. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+18,1,4,30,6,BG00018
19,Эверделл Дуэль,22,9,10,4624308534966,Стиль Жизни,nastolnaya-igra-19,Компактная коробка и красивые компоненты. Отличный выбор для компании. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+19,2,5,120,10,BG00019
20,Королевская дилемма Классика,12,9,10,4627902203658,Стиль Жизни,nastolnaya-igra-20,Удобные правила и быстрая партия. Подходит для семейных посиделок. Стратегическая глубина и высокая реиграбельность.,https://placehold.co/512x512?text=Game+20,2,4,15,10,BG00020
21,Бэнг! Дополнение,11,4,7,4622150994075,Crowd Games,nastolnaya-igra-21,Подходит для семейных посиделок. Евро-стратегия с управлением ресурсами. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+21,1,5,30,10,BG00021
22,Thunderstone Дуэль,24,5,11,4626427115941,Cosmodrome Games,nastolnaya-igra-22,Стратегическая глубина и высокая реиграбельность. Отличный выбор для компании. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+22,1,5,45,8,BG00022
23,Квест Мастера База,10,3,6,4629863400800,Лавка Игр,nastolnaya-igra-23,Стратегическая глубина и высокая реиграбельность. Кооперативный режим с нарастающим напряжением. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+23,2,4,30,12,BG00023
24,Dixit База,20,10,7,4624670561164,Настолки.ру,nastolnaya-igra-24,Стратегическая глубина и высокая реиграбельность. Евро-стратегия с управлением ресурсами. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+24,1,6,20,12,BG00024
25,Кодовые имена Делюкс,15,7,2,4621029989433,Magellan,nastolnaya-igra-25,Подходит для семейных посиделок. Компактная коробка и красивые компоненты. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+25,2,7,75,8,BG00025
26,Terraforming Mars Классика,19,2,7,4621377635754,GaGa Games,nastolnaya-igra-26,Отличный выбор для компании. Компактная коробка и красивые компоненты. Стратегическая глубина и высокая реиграбельность.,https://placehold.co/512x512?text=Game+26,2,5,20,8,BG00026
27,Эверделл База,8,9,4,4624854187364,Стиль Жизни,nastolnaya-igra-27,Кооперативный режим с нарастающим напряжением. Евро-стратегия с управлением ресурсами. Стратегическая глубина и высокая реиграбельность.,https://placehold.co/512x512?text=Game+27,2,5,60,6,BG00027
28,Ticket to Ride Классика,23,8,11,4626667481097,Lifestyle Boardgames,nastolnaya-igra-28,Кооперативный режим с нарастающим напряжением. Простая механика драфта и сбор сетов. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+28,1,7,20,8,BG00028
29,Парк Юрского периода Путешествие,9,7,6,4621437125669,Magellan,nastolnaya-igra-29,Простая механика драфта и сбор сетов. Подходит для семейных посиделок. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+29,1,5,60,10,BG00029
30,Thunderstone Классика,22,6,9,4628508178265,Zvezda,nastolnaya-igra-30,Компактная коробка и красивые компоненты. Удобные правила и быстрая партия. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+30,2,7,120,10,BG00030
31,Azul База,13,9,10,4629981497126,Стиль Жизни,nastolnaya-igra-31,Стратегическая глубина и высокая реиграбельность. Подходит для семейных посиделок. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+31,1,8,90,8,BG00031
32,Имаджинариум Дополнение,18,9,4,4628742986831,Стиль Жизни,nastolnaya-igra-32,Отличный выбор для компании. Компактная коробка и красивые компоненты. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+32,2,4,45,6,BG00032
33,Azul Дополнение,2,2,6,4626418187285,GaGa Games,nastolnaya-igra-33,Подходит для семейных посиделок. Кооперативный режим с нарастающим напряжением. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+33,1,6,45,12,BG00033
34,Dixit Классика,15,7,1,4620944515611,Magellan,nastolnaya-igra-34,Подходит для семейных посиделок. Евро-стратегия с управлением ресурсами. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+34,2,8,120,12,BG00034
35,Королевская дилемма Классика,25,2,13,4626533869929,GaGa Games,nastolnaya-igra-35,Стратегическая глубина и высокая реиграбельность. Евро-стратегия с управлением ресурсами. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+35,2,7,60,8,BG00035
36,Крылья Путешествие,21,3,10,4621032258489,Лавка Игр,nastolnaya-igra-36,Кооперативный режим с нарастающим напряжением. Подходит для семейных посиделок. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+36,2,4,45,14,BG00036
37,Серп Делюкс,25,7,8,4623804319350,Magellan,nastolnaya-igra-37,Подходит для семейных посиделок. Отличный выбор для компании. Стратегическая глубина и высокая реиграбельность.,https://placehold.co/512x512?text=Game+37,2,8,20,12,BG00037
38,Кодовые имена База,14,1,1,4624273719146,Hobby World,nastolnaya-igra-38,Подходит для семейных посиделок. Кооперативный режим с нарастающим напряжением. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+38,1,7,75,10,BG00038
39,Зельеварение Дополнение,12,3,7,4629116125450,Лавка Игр,nastolnaya-igra-39,Евро-стратегия с управлением ресурсами. Кооперативный режим с нарастающим напряжением. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+39,1,7,15,14,BG00039
40,Terraforming Mars Классика,5,2,4,4620692529793,GaGa Games,nastolnaya-igra-40,Евро-стратегия с управлением ресурсами. Кооперативный режим с нарастающим напряжением. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+40,2,8,150,8,BG00040
41,Корова 006 Дуэль,7,3,10,4624182358566,Лавка Игр,nastolnaya-igra-41,Отличный выбор для компании. Удобные правила и быстрая партия. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+41,1,5,30,8,BG00041
42,Сплэндер Делюкс,9,9,4,4624798761101,Стиль Жизни,nastolnaya-igra-42,Простая механика драфта и сбор сетов. Стратегическая глубина и высокая реиграбельность. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+42,2,5,20,8,BG00042
43,Сплэндер Дуэль,17,7,1,4623414394624,Magellan,nastolnaya-igra-43,Удобные правила и быстрая партия. Подходит для семейных посиделок. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+43,1,8,30,14,BG00043
44,Dixit Путешествие,6,2,2,4622106170836,GaGa Games,nastolnaya-igra-44,Стратегическая глубина и высокая реиграбельность. Простая механика драфта и сбор сетов. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+44,1,7,60,8,BG00044
45,Робинзон Крузо,23,10,9,4625457964437,Настолки.ру,nastolnaya-igra-45,Простая механика драфта и сбор сетов. Отличный выбор для компании. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+45,1,7,20,8,BG00045
46,Thunderstone Дуэль,4,7,9,4626590598374,Magellan,nastolnaya-igra-46,Компактная коробка и красивые компоненты. Удобные правила и быстрая партия. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+46,2,5,15,14,BG00046
47,Kingdomino Дуэль,12,10,7,4629485274018,Настолки.ру,nastolnaya-igra-47,Подходит для семейных посиделок. Удобные правила и быстрая партия. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+47,2,4,75,14,BG00047
48,Квест Мастера Классика,9,8,10,4620495865272,Lifestyle Boardgames,nastolnaya-igra-48,Компактная коробка и красивые компоненты. Простая механика драфта и сбор сетов. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+48,1,6,60,8,BG00048
49,Clank! Путешествие,2,6,4,4629956506969,Zvezda,nastolnaya-igra-49,Простая механика драфта и сбор сетов. Стратегическая глубина и высокая реиграбельность. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+49,1,8,90,12,BG00049
50,Kingdomino Путешествие,17,1,2,4628165262734,Hobby World,nastolnaya-igra-50,Простая механика драфта и сбор сетов. Евро-стратегия с управлением ресурсами. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+50,1,4,45,10,BG00050
51,7 Wonders Классика,15,3,6,4628390634832,Лавка Игр,nastolnaya-igra-51,Евро-стратегия с управлением ресурсами. Компактная коробка и красивые компоненты. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+51,2,4,30,12,BG00051
52,Корова 006 Путешествие,21,5,6,4626281516175,Cosmodrome Games,nastolnaya-igra-52,Удобные правила и быстрая партия. Кооперативный режим с нарастающим напряжением. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+52,1,8,120,8,BG00052
53,Экипаж База,12,2,10,4626630334320,GaGa Games,nastolnaya-igra-53,Кооперативный режим с нарастающим напряжением. Стратегическая глубина и высокая реиграбельность. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+53,1,4,150,14,BG00053
54,Серп,18,2,4,4627544882679,GaGa Games,nastolnaya-igra-54,Простая механика драфта и сбор сетов. Кооперативный режим с нарастающим напряжением. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+54,2,6,45,6,BG00054
55,Парк Юрского периода Делюкс,25,8,3,4625229753511,Lifestyle Boardgames,nastolnaya-igra-55,Стратегическая глубина и высокая реиграбельность. Подходит для семейных посиделок. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+55,1,8,120,10,BG00055
56,Гвинтариум База,8,1,12,4624503062561,Hobby World,nastolnaya-igra-56,Стратегическая глубина и высокая реиграбельность. Отличный выбор для компании. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+56,1,4,120,10,BG00056
57,Саботёр Классика,6,8,3,4626320064254,Lifestyle Boardgames,nastolnaya-igra-57,Отличный выбор для компании. Компактная коробка и красивые компоненты. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+57,2,7,90,6,BG00057
58,Ticket to Ride Дополнение,3,7,5,4627485576750,Magellan,nastolnaya-igra-58,Евро-стратегия с управлением ресурсами. Простая механика драфта и сбор сетов. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+58,1,6,150,8,BG00058
59,Зельеварение Классика,4,1,4,4624518671314,Hobby World,nastolnaya-igra-59,Удобные правила и быстрая партия. Подходит для семейных посиделок. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+59,1,7,120,8,BG00059
60,Имаджинариум,10,7,5,4628973033960,Magellan,nastolnaya-igra-60,Удобные правила и быстрая партия. Подходит для семейных посиделок. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+60,2,7,30,6,BG00060
61,Patchwork Путешествие,19,6,6,4621635305085,Zvezda,nastolnaya-igra-61,Отличный выбор для компании. Подходит для семейных посиделок. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+61,1,7,60,6,BG00061
62,Немезида Классика,25,7,1,4627001524807,Magellan,nastolnaya-igra-62,Удобные правила и быстрая партия. Компактная коробка и красивые компоненты. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+62,2,4,15,10,BG00062
63,Экипаж Делюкс,11,5,3,4629375118163,Cosmodrome Games,nastolnaya-igra-63,Подходит для семейных посиделок. Стратегическая глубина и высокая реиграбельность. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+63,2,5,15,6,BG00063
64,Серп Делюкс,18,2,3,4624525769097,GaGa Games,nastolnaya-igra-64,Подходит для семейных посиделок. Евро-стратегия с управлением ресурсами. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+64,2,6,45,8,BG00064
65,Эверделл Классика,2,4,1,4626403142220,Crowd Games,nastolnaya-igra-65,Простая механика драфта и сбор сетов. Подходит для семейных посиделок. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+65,2,8,30,14,BG00065
66,Зельеварение,19,9,2,4622833819817,Стиль Жизни,nastolnaya-igra-66,Стратегическая глубина и высокая реиграбельность. Простая механика драфта и сбор сетов. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+66,2,7,90,6,BG00066
67,Гвинтариум Классика,1,8,14,4629782047728,Lifestyle Boardgames,nastolnaya-igra-67,Кооперативный режим с нарастающим напряжением. Удобные правила и быстрая партия. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+67,1,4,20,10,BG00067
68,Корова 006 Путешествие,19,7,9,4620640388410,Magellan,nastolnaya-igra-68,Подходит для семейных посиделок. Отличный выбор для компании. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+68,2,4,120,6,BG00068
69,Манчкин Делюкс,2,3,2,4622552090351,Лавка Игр,nastolnaya-igra-69,Стратегическая глубина и высокая реиграбельность. Подходит для семейных посиделок. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+69,1,5,45,6,BG00069
70,Бэнг! База,11,7,12,4621828828896,Magellan,nastolnaya-igra-70,Евро-стратегия с управлением ресурсами. Простая механика драфта и сбор сетов. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+70,1,7,30,8,BG00070
71,Парк Юрского периода Дуэль,11,8,1,4623228729438,Lifestyle Boardgames,nastolnaya-igra-71,Компактная коробка и красивые компоненты. Отличный выбор для компании. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+71,2,8,120,10,BG00071
72,Thunderstone База,11,2,13,4622899148326,GaGa Games,nastolnaya-igra-72,Простая механика драфта и сбор сетов. Кооперативный режим с нарастающим напряжением. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+72,2,8,20,6,BG00072
73,Крылья,3,4,7,4620150728072,Crowd Games,nastolnaya-igra-73,Отличный выбор для компании. Стратегическая глубина и высокая реиграбельность. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+73,2,8,15,12,BG00073
74,Корова 006 Делюкс,19,7,3,4621885773993,Magellan,nastolnaya-igra-74,Отличный выбор для компании. Простая механика драфта и сбор сетов. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+74,1,4,150,8,BG00074
75,Dixit,6,4,14,4624284758325,Crowd Games,nastolnaya-igra-75,Удобные правила и быстрая партия. Отличный выбор для компании. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+75,2,6,30,10,BG00075
76,Манчкин Дополнение,6,1,11,4622468828970,Hobby World,nastolnaya-igra-76,Стратегическая глубина и высокая реиграбельность. Подходит для семейных посиделок. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+76,1,8,75,8,BG00076
77,Квест Мастера,21,4,10,4627327533774,Crowd Games,nastolnaya-igra-77,Евро-стратегия с управлением ресурсами. Компактная коробка и красивые компоненты. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+77,1,5,45,10,BG00077
78,Корова 006 Классика,3,9,9,4626391121047,Стиль Жизни,nastolnaya-igra-78,Отличный выбор для компании. Евро-стратегия с управлением ресурсами. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+78,1,4,20,6,BG00078
79,Azul Делюкс,14,4,5,4626871152301,Crowd Games,nastolnaya-igra-79,Отличный выбор для компании. Простая механика драфта и сбор сетов. Стратегическая глубина и высокая реиграбельность.,https://placehold.co/512x512?text=Game+79,1,6,30,12,BG00079
80,Крылья,10,5,3,4629921195532,Cosmodrome Games,nastolnaya-igra-80,Стратегическая глубина и высокая реиграбельность. Евро-стратегия с управлением ресурсами. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+80,2,6,20,12,BG00080
81,Patchwork База,13,6,1,4620484885359,Zvezda,nastolnaya-igra-81,Подходит для семейных посиделок. Евро-стратегия с управлением ресурсами. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+81,2,8,45,6,BG00081
82,Экипаж,25,5,7,4620943912282,Cosmodrome Games,nastolnaya-igra-82,Простая механика драфта и сбор сетов. Удобные правила и быстрая партия. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+82,2,6,30,8,BG00082
83,Azul,4,6,14,4625335984564,Zvezda,nastolnaya-igra-83,Подходит для семейных посиделок. Стратегическая глубина и высокая реиграбельность. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+83,1,7,30,10,BG00083
84,Пандемия Дополнение,7,9,10,4623602972061,Стиль Жизни,nastolnaya-igra-84,Простая механика драфта и сбор сетов. Удобные правила и быстрая партия. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+84,1,4,30,8,BG00084
85,7 Wonders,15,1,9,4623968457592,Hobby World,nastolnaya-igra-85,Компактная коробка и красивые компоненты. Евро-стратегия с управлением ресурсами. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+85,1,6,30,8,BG00085
86,Немезида Дополнение,3,5,11,4622370774686,Cosmodrome Games,nastolnaya-igra-86,Простая механика драфта и сбор сетов. Евро-стратегия с управлением ресурсами. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+86,2,8,150,12,BG00086
87,Квест Мастера Классика,12,10,7,4625102227641,Настолки.ру,nastolnaya-igra-87,Кооперативный режим с нарастающим напряжением. Удобные правила и быстрая партия. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+87,2,8,60,8,BG00087
88,Манчкин Дополнение,3,5,2,4626994560328,Cosmodrome Games,nastolnaya-igra-88,Удобные правила и быстрая партия. Отличный выбор для компании. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+88,1,5,45,14,BG00088
89,Зельеварение Путешествие,19,2,10,4626990420435,GaGa Games,nastolnaya-igra-89,Стратегическая глубина и высокая реиграбельность. Подходит для семейных посиделок. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+89,1,5,15,10,BG00089
90,Эверделл Классика,11,2,10,4622574360739,GaGa Games,nastolnaya-igra-90,Отличный выбор для компании. Подходит для семейных посиделок. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+90,1,6,20,8,BG00090
91,Колонизаторы Классика,22,7,10,4621713616751,Magellan,nastolnaya-igra-91,Компактная коробка и красивые компоненты. Стратегическая глубина и высокая реиграбельность. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+91,1,6,45,10,BG00091
92,Гвинтариум Делюкс,21,5,5,4620252143728,Cosmodrome Games,nastolnaya-igra-92,Компактная коробка и красивые компоненты. Подходит для семейных посиделок. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+92,1,7,45,12,BG00092
93,Сплэндер Путешествие,5,6,6,4626418878251,Zvezda,nastolnaya-igra-93,Подходит для семейных посиделок. Удобные правила и быстрая партия. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+93,2,4,30,10,BG00093
94,Имаджинариум Путешествие,12,4,14,4622375873407,Crowd Games,nastolnaya-igra-94,Удобные правила и быстрая партия. Подходит для семейных посиделок. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+94,1,7,75,8,BG00094
95,7 Wonders База,15,6,14,4620476171125,Zvezda,nastolnaya-igra-95,Компактная коробка и красивые компоненты. Удобные правила и быстрая партия. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+95,1,5,90,14,BG00095
96,Каркассон Делюкс,8,6,10,4622808458331,Zvezda,nastolnaya-igra-96,Стратегическая глубина и высокая реиграбельность. Кооперативный режим с нарастающим напряжением. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+96,1,8,90,8,BG00096
97,Пандемия Путешествие,13,10,14,4620200289546,Настолки.ру,nastolnaya-igra-97,Подходит для семейных посиделок. Стратегическая глубина и высокая реиграбельность. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+97,1,7,75,14,BG00097
98,Clank! Дуэль,12,6,5,4627063207809,Zvezda,nastolnaya-igra-98,Стратегическая глубина и высокая реиграбельность. Евро-стратегия с управлением ресурсами. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+98,2,8,60,8,BG00098
99,Зельеварение Путешествие,11,1,2,4623766536819,Hobby World,nastolnaya-igra-99,Удобные правила и быстрая партия. Компактная коробка и красивые компоненты. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+99,1,5,20,12,BG00099
100,Крылья Путешествие,2,9,7,4624722652932,Стиль Жизни,nastolnaya-igra-100,Удобные правила и быстрая партия. Компактная коробка и красивые компоненты. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+100,2,7,90,10,BG00100
101,Королевская дилемма Дополнение,12,2,2,4626510398138,GaGa Games,nastolnaya-igra-101,Компактная коробка и красивые компоненты. Удобные правила и быстрая партия. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+101,1,8,20,10,BG00101
102,Имаджинариум,22,4,13,4620951626782,Crowd Games,nastolnaya-igra-102,Евро-стратегия с управлением ресурсами. Отличный выбор для компании. Простая механика драфта и сбор сетов.,https://placehold.co/512x512?text=Game+102,1,6,45,8,BG00102
103,Kingdomino Дополнение,2,6,9,4627282855669,Zvezda,nastolnaya-igra-103,Стратегическая глубина и высокая реиграбельность. Удобные правила и быстрая партия. Подходит для семейных посиделок.,https://placehold.co/512x512?text=Game+103,1,4,60,6,BG00103
104,Patchwork База,13,2,14,4625037909025,GaGa Games,nastolnaya-igra-104,Евро-стратегия с управлением ресурсами. Удобные правила и быстрая партия. Стратегическая глубина и высокая реиграбельность.,https://placehold.co/512x512?text=Game+104,2,8,30,10,BG00104
105,Крылья Делюкс,3,8,7,4629744878742,Lifestyle Boardgames,nastolnaya-igra-105,Отличный выбор для компании. Кооперативный режим с нарастающим напряжением. Компактная коробка и красивые компоненты.,https://placehold.co/512x512?text=Game+105,2,5,30,6,BG00105
106,Сплэндер Путешествие,4,9,1,4626439293033,Стиль Жизни,nastolnaya-igra-106,Подходит для семейных посиделок. Кооперативный режим с нарастающим напряжением. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+106,1,8,150,10,BG00106
107,Kingdomino Классика,22,10,1,4629922223524,Настолки.ру,nastolnaya-igra-107,Подходит для семейных посиделок. Компактная коробка и красивые компоненты. Евро-стратегия с управлением ресурсами.,https://placehold.co/512x512?text=Game+107,1,4,75,6,BG00107
108,Каркассон Классика,24,5,10,4623272963086,Cosmodrome Games,nastolnaya-igra-108,Отличный выбор для компании. Компактная коробка и красивые компоненты. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+108,1,4,90,6,BG00108
109,Колонизаторы Классика,23,5,8,4622430813119,Cosmodrome Games,nastolnaya-igra-109,Подходит для семейных посиделок. Стратегическая глубина и высокая реиграбельность. Удобные правила и быстрая партия.,https://placehold.co/512x512?text=Game+109,1,7,120,12,BG00109
110,Квест Мастера Дуэль,11,8,8,4628552276351,Lifestyle Boardgames,nastolnaya-igra-110,Простая механика драфта и сбор сетов. Евро-стратегия с управлением ресурсами. Стратегическая глубина и высокая реиграбельность.,https://placehold.co/512x512?text=Game+110,2,8,60,8,BG00110
111,7 Wonders Классика,13,7,3,4626533096615,Magellan,nastolnaya-igra-111,Компактная коробка и красивые компоненты. Удобные правила и быстрая партия. Кооперативный режим с нарастающим напряжением.,https://placehold.co/512x512?text=Game+111,2,8,15,10,BG00111
112,Ticket to Ride Дуэль,21,6,13,4624589670667,Zvezda,nastolnaya-igra-112,Кооперативный режим с нарастающим напряжением. Удобные правила и быстрая партия. Отличный выбор для компании.,https://placehold.co/512x512?text=Game+112,2,8,30,14,BG00112
